nohup: ignoring input
Total docs (missing docs only): 2255299
Processed 604000/2255299 (26.78%) | 3841.8 docs/s | ETA 00:07:09
Processed 606000/2255299 (26.87%) | 3844.2 docs/s | ETA 00:07:09
Processed 608000/2255299 (26.96%) | 3846.3 docs/s | ETA 00:07:08
Processed 610000/2255299 (27.05%) | 3847.9 docs/s | ETA 00:07:07
Processed 612000/2255299 (27.14%) | 3849.4 docs/s | ETA 00:07:06
Processed 614000/2255299 (27.22%) | 3851.5 docs/s | ETA 00:07:06
Processed 616000/2255299 (27.31%) | 3853.9 docs/s | ETA 00:07:05
Processed 618000/2255299 (27.40%) | 3856.7 docs/s | ETA 00:07:04
Processed 620000/2255299 (27.49%) | 3859.4 docs/s | ETA 00:07:03
Committed intermediate batch
Processed 622000/2255299 (27.58%) | 3850.6 docs/s | ETA 00:07:04
Processed 624000/2255299 (27.67%) | 3852.8 docs/s | ETA 00:07:03
Processed 626000/2255299 (27.76%) | 3855.4 docs/s | ETA 00:07:02
Processed 628000/2255299 (27.85%) | 3857.3 docs/s | ETA 00:07:01
Processed 630000/2255299 (27.93%) | 3859.0 docs/s | ETA 00:07:01
Processed 632000/2255299 (28.02%) | 3861.2 docs/s | ETA 00:07:00
Processed 634000/2255299 (28.11%) | 3863.9 docs/s | ETA 00:06:59
Processed 636000/2255299 (28.20%) | 3865.8 docs/s | ETA 00:06:58
Processed 638000/2255299 (28.29%) | 3866.9 docs/s | ETA 00:06:58
Processed 640000/2255299 (28.38%) | 3868.8 docs/s | ETA 00:06:57
Committed intermediate batch
Processed 642000/2255299 (28.47%) | 3858.8 docs/s | ETA 00:06:58
Processed 644000/2255299 (28.55%) | 3859.4 docs/s | ETA 00:06:57
Processed 646000/2255299 (28.64%) | 3861.1 docs/s | ETA 00:06:56
Processed 648000/2255299 (28.73%) | 3863.2 docs/s | ETA 00:06:56
Processed 650000/2255299 (28.82%) | 3865.1 docs/s | ETA 00:06:55
Processed 652000/2255299 (28.91%) | 3866.5 docs/s | ETA 00:06:54
Processed 654000/2255299 (29.00%) | 3868.4 docs/s | ETA 00:06:53
Processed 656000/2255299 (29.09%) | 3870.7 docs/s | ETA 00:06:53
Processed 658000/2255299 (29.18%) | 3872.7 docs/s | ETA 00:06:52
Processed 660000/2255299 (29.26%) | 3874.4 docs/s | ETA 00:06:51
Committed intermediate batch
Processed 662000/2255299 (29.35%) | 3865.5 docs/s | ETA 00:06:52
Processed 664000/2255299 (29.44%) | 3868.1 docs/s | ETA 00:06:51
Processed 666000/2255299 (29.53%) | 3870.3 docs/s | ETA 00:06:50
Processed 668000/2255299 (29.62%) | 3872.4 docs/s | ETA 00:06:49
Processed 670000/2255299 (29.71%) | 3874.2 docs/s | ETA 00:06:49
Processed 672000/2255299 (29.80%) | 3876.5 docs/s | ETA 00:06:48
Processed 674000/2255299 (29.89%) | 3878.6 docs/s | ETA 00:06:47
Processed 676000/2255299 (29.97%) | 3880.2 docs/s | ETA 00:06:47
Processed 678000/2255299 (30.06%) | 3882.1 docs/s | ETA 00:06:46
Processed 680000/2255299 (30.15%) | 3883.7 docs/s | ETA 00:06:45
Committed intermediate batch
Processed 682000/2255299 (30.24%) | 3874.0 docs/s | ETA 00:06:46
Processed 684000/2255299 (30.33%) | 3876.0 docs/s | ETA 00:06:45
Processed 686000/2255299 (30.42%) | 3878.7 docs/s | ETA 00:06:44
Processed 688000/2255299 (30.51%) | 3880.5 docs/s | ETA 00:06:43
Processed 690000/2255299 (30.59%) | 3882.4 docs/s | ETA 00:06:43
Processed 692000/2255299 (30.68%) | 3883.9 docs/s | ETA 00:06:42
